Article,Word,Englisch,PT
der,Posteingang,inbox,caixa de entrada
das,Poster,poster,poster
das,Praktikum,internship,estágio
die,Praline,Praline,Praline.
die,Präsentation,presentation,apresentação
das,Privatkonto,Private account,Conta privada
das,Privatleben,Private life,Vida privada
die,Privatschule,Private school,Escola particular
das,Projekt,Project,Projeto
der,Prospekt,brochure,folheto
das,Prozent,percent,por cento
die,Prüfung,test,teste
die,Quittung,receipt,recibo
das,Quiz,quiz,questionário
das,Rad,wheel,roda
der,Radweg,Bike path,Ciclovia
der,Rasierapparat,razor,navalha
der,Raum,space,espaço
die,Realschule,secondary school,Ensino Médio
die,Rechnung,invoice,fatura
die,Rechtsberatung,Legal advice,Aconselhamento jurídico
die,Rechtsschutzversicherung,Legal protection insurance,Seguro de Proteção Legal.
das,Reinigungsunternehmen,Cleaning company,Companhia de Limpeza
der,Reisebus,Coach,Treinador
das,Reisedokument,Travel document,Documento de viagem
der,Reiseführer,travel Guide,guia de viagem
die,Reiseplanung,Travel planning,Planejamento de viagens
die,Reisezeit,Travel time,Tempo de viagem
das,Reiseziel,holiday destination,destino de férias
die,Reklamation,claim,alegar
die,Renovierung,renovation,renovação
die,Rentenversicherung,pension insurance,seguro de pensão
die,Reparatur,repair,reparar
der,Richtunspfeil,Directional index,Índice Direcional
das,Rollenmaß,Roll,Lista
die,Rose,rose,Rosa
der,Rückflug,Return flight,Vôo de retorno
der,Rucksack,backpack,mochila
die,Ruhe,Quiet,Quieto
der,Rundfunkbeitrag,Broadcasting contribution,Contribuição de radiodifusão
der,Rundgang,tour,percorrer
die,Salbe,ointment,pomada
der,Sand,sand,areia
der,Satz,sentence,frase
die,Säule,pillar,pilar
die,Schachtel,box,caixa
der,Schaden,damage,dano
der,Schalter,counter,contador
die,Schere,scissors,tesoura
die,Schichtarbeit,shift work,trabalho por turnos
der,Schlafsack,Sleeping bag,Saco de dormir
der,Schleier,veil,véu
das,Schmerzmittel,Painkiller,Analgésico
der,Schmuck,Jewellery,Jóias
das,Schnitzel,cutlet,costoleta
die,Schraube,screw,parafuso
der,Schritt,step,Passo
der,Schulabschuss,Loan,Empréstimo
die,Schulbildung,Education,Educação
das,Schulbuch,Textbook,Livro didático
der,Schulhof,Schoolhouse,Escola
das,Schuljahr,school year,ano escolar
die,Schulkantine,Schoolcartine,Schoolcartine.
die,Schulpflicht,Compulsory,Obrigatório
das,Schulsystem,school-system,sistema escolar
der,Schulweg,way to school,caminho para a escola
die,Schulzeit,schooldays,dias escolares
der,Schutz,protection,proteção
das,Schwarze Brett,Black board,Quadro-negro
der,Schwerpunkt,main emphasis,Ênfase principal.
der,Schwimmunterricht,swimming lessons,aulas de natação
die,Selbständigkeit,independence,independência
die,Sendung,broadcast,transmissão
der,Seniorentreff,Senior,Senior
die,Serie,series,Series
der,Service,service,serviço
die,Servicekraft,Service,Serviço
die,Serviette,napkin,guardanapo
der,Singkreis,Portion,Parte
der,Sinn,sense,senso
das,Skigebiet,Ski Area,Área de esqui
die,Sofortmaßnahme,Immediate action,Ação imediata
die,Software,software,Programas
das,Softwareprogamm,SoftwareProgamm,Softwareprogamm.
die,Solidarität,solidarity,solidariedade
der,Sondertarif,Special tariff,Tarifa especial
die,Sonnenbrille,sunglasses,oculos escuros
die,Sonnencreme,suncream,protetor solar
der,Sonnenhut,Sunshade,Guarda-sol
der,Sonnenschirm,parasol,guarda-sol.
der,Sonntagabend,Sunday evening,Domingo à noite
die,Sorge,worries,Preocupações
die,Sozialberatung,Social counseling,Aconselhamento Social
das,Sozialverhalten,Social behavior,Comportamento social
die,Spedition,carrier,operadora
das,Spiel,game,jogos
der,Spielfilm,motion pictures,imagens de movimento
die,Sportsendung,Sports show,Show de esportes
der,Sportunterricht,Sports lessons,Lições esportivas
der,Sportverein,Sports club,Clube de esportes
der,Sportwagen,Sports car,Carro esportivo
der,Sprachkurs,Language course,Curso de linguagem
das,Sprichwort,saying,dizendo
die,Spritze,syringe,seringa
der,Spruch,Saying,Dizendo
der,Stadtteil,district,distrito
die,Stadtverwaltung,City administration,Administração da cidade
das,Stadtzentrum,City center,Centro da cidade
der,Stand,was standing,estava em pé
die,Standmiete,Stand rental,Aluguer de carrinho
die,Start-Taste,Start button,Botão de início
der,Stau,traffic jam,engarrafamento
der,Staubsauger,vacuum cleaner,aspirador de pó
das,Stellenangebot,Job offer,Oferta de emprego
die,Stimmung,mood,humor
die,Störung,disturbance,perturbação
die,Strafe,penalty,pena
der,Stress,stress,estresse
das,Stromkabel,Power cable,Cabo de energia
der,Studienplatz,Study place,Lugar de estudo
das,Studium,studies,estudos
der,Stundenplan,Timetable,Calendário
der,Sturm,storm,tempestade
der,Support,Support,"Apoio, suporte"
die,Tabellenkalkulation,Spreadsheet,Planilha
die,Talkshow,Talk show,Programa de entrevistas
die,Tanzfläche,dance floor,pista de dança
der,Tanzkurs,Dance course,Curso de dança
die,Tapete,wallpaper,papel de parede
der,Tarif,Tariff,Tarifa
das,Taschengeld,pocket money,mesada
die,Taste,button,botão
die,Tätigkeit,task,tarefa
die,Teamarbeit,Teamwork,Trabalho em equipe
die,Technik,technology,tecnologia
der,Teddybär,teddy bear,urso Teddy
die,Teilzeit,Part-time,Meio período
die,Teilzeitarbeit,part time jobs,trabalho de meio período
der,Telefonanbieter,Telephone service,Serviço de telefone
die,Telefonzentrale,Telephone center,Centro Telefônico
der,Teller,Plate,Placa
die,Tendenz,tendency,tendência
der,Tetanus,tetanus,tétano
die,Theatergruppe,Theater group,Grupo de teatro
das,Ticket,ticket,bilhete
die,Tiefe,depth,profundidade
die,Tierhaltung,livestock farming,pecuária agricultura
der,Tofu,tofu,tofu
die,Tonaufnahme,Sound recording,Gravação de som
das,Topangebot,Top offer,Top oferta
der,Tourismus,tourism,turismo
die,Tradition,tradition,tradição
der,TRansportwagen,Trolley,Carrinho
der,Traum,dream,Sonhe
die,Trauung,wedding,Casamento
das,Trinkgeld,Tip,Gorjeta
der,Turnverein,Gymnastics,Ginástica
der,Typ,Type,Modelo
die,Überraschung,surprise,surpresa
die,Überstunde,hour of overtime,hora de horas extras.
die,Übung,a practice,uma prática
die,Uhrzeit,time,Tempo
die,Umdrehung,revolution,revolução
die,Umgebung,Surroundings,Arredores
die,Universität,university,universidade
die,Universitätsstadt,University City,Cidade universitária.
die,Unterkunft,accommodation,alojamento
der,Urin,urine,urina
die,Urin-Untersuchung,Urine examination,Exame de urina
das,Urlaubsfoto,Holiday photo,Foto de férias
die,Urlaubsreise,Vacation trip,Viagem de férias
die,Ursache,root cause,causa raiz
die,Veranstaltung,event,evento
der,Verband,Association,Associação
der,Verein,society,sociedade
das,Vereinsleben,Club life,Vida do clube.
die,Verkehrsmeldung,Traffic report,Relatório de tráfego
der,Verkehrsverbund,Transport network,Rede de transporte
das,Versehen,Mistake,Erro
die,Versicherung,insurance,seguro
der,Verisucherungsschutz,Commercial protection,Proteção comercial
das,Vitamin,vitamin,Vitamina
die,Vollzeit,Full-time,Tempo total
die,Voraussetzung,pre-condition,condição prévia
der,Vorort,On site,No local
der,Vorschlag,proposal,proposta
die,Vorsorgeuntersuchung,Precautionary examination,Exame de precaução
die,Verspeise,Mesh,Malha
das,Vorstellungsgespräch,job interview,entrevista de emprego
der,Wagen,dare,Atreva-se
die,Wagenreparatur,Car repair,Reparo de carros
die,Wagentür,Wail door,Porta lasciva
das,Wahrzeichen,Landmark,Marco
die,Wandfarbe,Wall paint,tinta de parede
die,Wärme,warmth,cordialidade
die,Wäscherei,laundry,lavanderia
das,Wasserschloss,Water lock,Fechadura de água
das,WC,WC,banheiro
das,Webdesign,Webdesign,Designer de Web
die,Webseite,website,local na rede Internet
der,Wecker,alarm clock,despertador
die,Weihnachtszeit,Christmas time,época de Natal
der,Weißwein,White wine,vinho branco
die,Weiterbildung,further education,mais Educação
die,Welt,world,mundo
die,Werbung,advertising,anúncio
das,Werk,plant,plantar
der,Wetterbericht,Weather report,Previsão do tempo
die,Wochenendarbeit,Weekend work,Trabalho de fim de semana
der,Wochentag,weekday,Dia da semana
das,Wohlbefinden,Well-being,Bem-estar
die,Wohnungsbesichtigung,Housing visit,Visita da habitação.
das,Wort,word,palavra
das,Wunderkind,wonder child,Maravilha criança
das,Yoga,yoga,ioga
die,Zahlung,payment,Forma de pagamento
der,Zahn,tooth,dente
die,Zahnbürste,toothbrush,escova de dente
die,Zeitarbeitsfirma,Temporary employment agency,Agência de Emprego Temporário
die,Zeitschrift,magazine,revista
das,Zelt,time,Tempo
das,Zentrum,center,Centro
der,Zettel,note,Nota
das,Zeugnis,transcript,transcrição
die,Zielgruppe,target group,grupo alvo
der,Zwilling,twin,gêmeo
der,Abend,evening,noite
das,Abendessen,Dinner,Jantar
das,Abendkleid,Evening dress,Vestido de noite
der,Abendkurs,Evening course,Curso de noite
die,Abfahrt,Departure,Partida
die,Abkürzung,abbreviation,abreviação
der,Absender,sender,remetente
die,Abteilung,Department,Departamento
die,Addresse,Address,Endereço
der,Aktivurlaub,Active holiday,Feriado ativo
das,Alphabet,alphabet,alfabeto
die,Ampel,traffic light,semáforo
das,Amt,government office,escritório do governo
die,Anerkennung,recognition,reconhecimento
der,Anfang,Beginning,Começo
das,Angebot,offer,oferta
die,Ankunft,Arrivals,Chegadas
die,Anmeldebestätigung,Registration confirmation,Confirmação de registro
das,Anmeldeformular,registration form,formulário de registro
die,Anmeldung,Sign up,Inscrever-se
die,Anrede,salutation,saudação
die,Anreise,getting there,chegando la
der,Antrag,application,aplicativo
die,Anzahl,number,número
die,Anzeige,advertisement,propaganda
der,Anzug,men's suit,terno masculino
der,Apfel,Apple,maçã
der,Apfelsaft,Apple juice,suco de maçã
die,Apotheke,pharmacy,farmacia
der,Appetit,appetite,apetite
der,April,April,abril
die,Arbeit,job,trabalho
der,Arbeitsort,workplace,local de trabalho
die,Arbeitszeit,working time,expediente
der,Arm,poor,pobre
der,Artikel,items,Itens
der,Arztbesuch,Doctor's visit,Visita do médico
der,Asienladen,Asian shop,Loja asiática
die,Aufgabe,task,tarefa
der,Aufzug,elevator,elevador
das,Auge,eye,olho
der,August,August,agosto
der,Ausflug,side trip,viagem lateral
der,Ausgang,exit,saída
das,Ausland,foreign countries,países estrangeiros
das,Ausländeramt,foreign Office,Ministério das Relações Exteriores
die,Auslandsreise,foreign travel,viagem ao exterior
die,Aussicht,outlook,panorama
das,Auto,automobile,automóvel
das,Autokennzeichen,license plate,placa de carro
der,Automat,Machine,Máquina
der,Autoschlüssel,car key,Chave do carro
die,Babyhose,Baby pants,Calças de bebê
die,Babywasche,Babywash,Babywash.
der,Bäcker,Baker,padeiro
die,Backerei,Bakery,Padaria
das,Bad,bath,banho de banheira
der,Bademantel,bathrobe,roupão de banho
die,Bahncard,Bahncard,Bahncard.
der,Bahnhof,train station,estação de trem
der,Balkon,balcony,sacada
die,Banane,banana,banana
die,Bank,Bank,Banco
die,Bankverbindung,Bank details,detalhes bancários
